words|s	l|f	fre|f	neig|f	bigr|f
abrir	5	49.11	3.344434	10721.49526
abuelo	6	80.296284	1.8	8433.872543
acceso	6	41.181406	1.85	25159.69497
acción	6	67.633396	1.9	13490.72917
aceite	6	22.68	2.45	11110.82618
actuar	6	43.602443	1.65	18618.31489
agosto	6	24.11	2.05	15882.20996
amante	6	33.39	1.95	20644.6816
amiga	5	52.14	4.363181	9792.995118
amigo	5	158.39	1.9	11249.23584
ángel	5	42.93882	1.85	3722.781065
árbol	5	35	2.8	2400.518729
ataque	6	56.79	2.45	8138.153711
avance	6	24.46	2.55	11607.86065
avión	5	50.36	4.23505	2727.695892
ayuda	5	105.18	1.9	11913.91851
ayudar	6	162.587762	1.5	23366.84802
bailar	6	72.845111	1.45	20611.38817
baile	5	22.86	1.9	6978.500754
barco	5	47.68	4.272776	25706.51435
beber	5	29.64	3.620441	36968.62041
blanco	6	117.234391	1.45	14309.19317
bosque	6	57.702822	1.8	23562.60816
busca	5	83.57	3.857197	17857.52334
buscar	6	148.649507	1.6	29310.45285
cabeza	6	352.86	1.95	32923.39628
cadena	6	58.39	1.9	33025.65497
caer	4	52.958022	1.4	22343.4929
calle	5	163.035222	1	26511.37074
calma	5	30.71	1.45	26794.26243
calor	5	63.787839	1.7	36250.15619
cámara	6	94.310197	1.85	24539.58109
cambio	6	119.46	1.9	30312.2431
camino	6	205.71	1.85	27749.1799
camión	6	57.929794	1.8	26405.12174
camisa	6	30.54	1.95	27670.39677
campo	5	125.303793	1.1	26518.60794
cárcel	6	92.403631	2.05	5471.266938
cariño	6	352.911529	1.7	36235.24952
casado	6	58.554508	1	47605.82682
caza	4	25.54	1	14404.6317
cerrar	6	44.482231	1.3	45498.71005
chica	5	75.71	1.6	11561.36814
chico	5	334.189564	1.3	9126.462076
cielo	5	158.878388	1.6	26864.90251
ciudad	6	271.07	2.8	17733.07546
clave	5	45.36	1.7	9614.162615
coche	5	122.86	5.468283	41465.64487
cocina	6	65.18	1.7	45050.11982
coger	5	45.305815	1.3	54298.03351
color	5	66.537445	1.5	50910.81912
comer	5	205.249892	1.3	70847.7169
comida	6	200.273796	1.6	51954.97561
contar	6	65.13454	1.4	79770.637
correr	6	61.708341	1.4	65822.46144
creer	5	62.68	5.326126	40772.20349
cuarto	6	175.116629	1.65	24385.31546
cuello	6	63.649494	1.75	71994.39951
cuenta	6	365.36	1.75	98224.06309
cuento	6	47.469617	1.5	97994.25904
cuero	5	21.43	1.3	79164.35888
cuerpo	6	218.59802	1.75	78657.05431
cuesta	6	40.89	1.75	84639.09947
cuidar	6	42.136851	1.55	36705.85377
deber	5	43.451128	1.4	94021.81347
dejar	5	266.724776	1.4	75863.71645
deje	4	21.25	3.80358	64605.47732
dicha	5	45.36	1.75	24038.36573
dinero	6	206.96	1.95	54614.04354
doctor	6	236.37751	1.6	15754.18256
dormir	6	179.132956	1.75	30220.9289
efecto	6	42.863162	1.6	8060.408081
enero	5	25	1.85	37476.1738
entrar	6	235.532309	1.5	54069.95274
estado	6	416.61	1.8	112265.4592
evitar	6	60.945282	1.45	21945.95018
éxito	5	103.04	2	6229.944185
fiebre	6	26.43	2.3	32926.58897
fuerza	6	132.52151	1.7	74397.20306
futuro	6	133.144062	1.8	16579.77995
ganar	5	111.123434	1.3	23065.26244
ganas	5	64.11	3.451454	19638.3386
grito	5	33.93	1.7	13351.59952
grupo	5	125.416199	1.7	6893.831439
hambre	6	53.57	2.1	47382.1813
herida	6	22.86	1.9	38551.84467
hielo	5	30.89	1.85	27496.36947
hierba	6	23.57	1.95	35211.26747
hierro	6	20.18	1.9	40897.20469
hijo	4	224.46	1.5	9945.139902
hogar	5	37.68	3.480913	20853.96724
hombro	6	28.93	2	33247.28999
honor	5	42.32	4.005942	39465.6781
huella	6	20	1.9	65056.782
huevo	5	20.36	1.75	64729.09672
humano	6	82.341196	1.6	14903.81714
humor	5	45.333917	1.8	22518.38686
imagen	6	163.93	2.9	12157.56141
inglés	6	59.181383	2.2	7486.596525
joven	5	201.07	2.65	12510.63079
juego	5	160.18	1.8	70605.37491
jueves	6	33.04	2.95	74521.8324
jugar	5	68.57	4.723381	18267.11518
julio	5	42.5	1.9	8935.552457
junio	5	29.46	1.85	10906.98553
leche	5	53.223903	1.45	23867.61569
lengua	6	43.952629	1.8	30437.7565
llama	5	112.68	5.838342	17632.49869
llamar	6	152.706905	1.35	29085.4282
llave	5	22.86	1.9	13367.97175
llegar	6	247.862304	1.25	28783.89234
llevar	6	145.361652	1.35	26675.42853
llorar	6	49.261617	1.45	28823.28832
lluvia	6	59.46	2.7	10770.21857
lucha	5	51.591865	1	13468.73444
luchar	6	50.90014	1.3	24921.66394
lunes	5	40.89	2.25	20630.52273
marcha	6	64.135863	1.15	32610.61567
marido	6	136.79	1.8	45214.68103
martes	6	29.64	1.9	46110.8236
medida	6	81.07	1.8	27012.39999
mezcla	6	42.5	2.45	18576.00487
miedo	5	149.82	2	44392.17243
mitad	5	86.25	1.95	30117.9375
montón	6	81.48951	1.55	36202.32565
morir	5	230.022288	1.7	30120.96607
motivo	6	78.93	1.9	9526.086661
muerto	6	362.202258	1.55	86396.70952
negro	5	130.36	1.95	10818.95279
nieve	5	39.29	2.3	28192.10413
niña	4	157.951044	1.2	4923.920082
niño	4	272.401243	1.15	6568.733667
noche	5	405.71	1.85	48634.94238
nombre	6	272.5	2.2	65458.27652
novia	5	31.07	4.386271	42037.04171
oferta	6	31.96	2.2	19840.36986
opción	6	25.18	2.2	9630.078713
origen	6	102.14	2.75	14115.78903
padre	5	383.57	1.9	35263.89918
parque	6	43.634868	1.4	43932.81326
partir	6	56.267493	1.7	45504.15061
pecado	6	29.64	1.55	38676.98648
pecho	5	68.04	1.6	32976.92505
pedido	6	58.558831	1.45	30569.80683
pedir	5	70.218718	1.65	23306.6441
pelear	6	60.770189	1.5	40885.55801
pensar	6	230.651325	1.5	47901.20644
perder	6	143.09193	1.75	55949.12659
piedra	6	48.105139	1.85	39337.86452
piel	4	62.743766	1.5	24869.38225
pierna	6	24.64	1.95	35357.05284
polvo	5	42.37247	1.7	29319.09039
prensa	6	53.018547	1.45	42643.34522
pueblo	6	179.545829	1.85	70773.96341
puerto	6	54.46	1.7	85561.17724
puesto	6	142.192688	1.55	84420.52295
quedar	6	64.786516	1.45	138939.1905
querer	6	49.045453	1.85	138658.8626
rápido	6	334.833733	1.9	13751.20676
rato	4	72.5	3.748821	14183.13275
regalo	6	29.29	1.8	23473.59228
regla	5	26.25	1.9	18687.7102
reloj	5	50.71	2.1	26904.99485
resto	5	127.86	4.719244	33534.59648
rico	4	30.89	3.34209	8403.750112
riesgo	6	49.10814	1.9	27952.2075
rincón	6	40.36	2.85	11348.35357
rival	5	21.96	1.95	6280.662778
robar	5	45.521979	1.05	16453.61368
rojo	4	63.75	3.454888	6000.261236
rueda	5	22.86	1.8	73324.29454
ruido	5	55.839488	1.6	15370.47191
ruso	4	22.86	1.55	8403.222604
saber	5	210.18	1.85	50934.49314
salida	6	73.599523	1.25	28056.88076
salir	5	385.027017	1.3	25158.55148
salud	5	79.64	1.8	18658.37421
salvar	6	81.729452	1.3	33201.90003
sangre	6	184.46	2.65	32063.00521
seguir	6	181.242717	1.7	33747.56259
semana	6	147.86	1.95	36986.85828
sentir	6	106.341886	1.65	52798.76945
señal	5	97.051157	1.55	26769.46178
signo	5	34.29	1.85	20015.1297
sillón	6	28.39	1.85	19937.77973
sitio	5	92.32	4.869723	19837.48186
sombra	6	73.04	1.85	38315.18836
sonido	6	37.32	1.95	43851.59834
subir	5	58.223777	1.7	18360.69687
techo	5	40.18	1.65	35892.64252
tienda	6	100.918331	1.6	54980.9861
tierra	6	256.459147	1.7	47897.62878
tocar	5	69.06224	1.25	27259.78686
tomar	5	111.96	5.662831	37163.97662
toque	5	41.829898	1.4	14506.78863
tratar	6	63.063689	1.3	39828.33885
tumba	5	22.68	1.65	14768.20441
unidad	6	52.160376	1.85	39614.7835
valle	5	22.32	1.8	20853.03553
valor	5	68.690438	1.5	30591.82098
vender	6	50.941211	1.35	49977.99769
venir	5	51.07	5.975559	35203.46397
verano	6	59.693692	1.75	56184.63724
verdad	6	311.25	2	51007.13513
vieja	5	84.096448	1.6	27800.20957
viejo	5	167.5	6.110847	27786.20214
viento	6	70.54	1.9	57295.02402
virgen	6	29.64	2.8	19803.8467
virtud	6	25.18	2.9	14245.72521
viuda	5	31.43	1.9	15570.81269
vivir	5	218.684485	1.65	15508.82553
volver	6	314.066856	1.75	22374.86911
vuelo	5	49.29	1.75	64541.81223
quizás	6	293.371313	2.25	66497.81987
