word|s    nlet|f    frq|f Lev|f bi|f
abismo  6   16.43   2   9390.778771
abrir   5   49.11   3.344434    10721.49526
abuelo  6   80.296284   1.8 8433.872543
acatar  6   0.916535    1.3 26852.44755
acceso  6   41.181406   1.85    25159.69497
acción  6   67.633396   1.9 13490.72917
acecho  6   1.934668    1.6 7020.423669
aceite  6   22.68   2.45    11110.82618
acidez  6   1.184579    1.9 13342.5293
actriz  6   17.86   2.7 11477.26528
actuar  6   43.602443   1.65    18618.31489
adorno  6   1.878465    1.7 9193.503148
agonía  6   4.699406    1.85    4837.84145
agosto  6   24.11   2.05    15882.20996
aguja   5   8.93    1.9 3285.669246
ahogo   5   4.46    0.307211    12649.99373
ahorro  6   2.782031    1.65    20042.86367
aislar  6   2.481563    1.75    23479.20155
alcoba  6   1.720666    1.9 23511.89186
alejar  6   4.167642    1.45    33204.65177
alumna  6   3.921215    1.85    20045.76885
amador  6   1.117568    1.55    11096.33882
amante  6   33.39   1.95    20644.6816
ámbito  6   1.348863    1.95    10505.7873
amiga   5   52.14   4.363181    9792.995118
amigo   5   158.39  1.9 11249.23584
amparo  6   1.098113    1.65    24601.37381
ángel   5   42.93882    1.85    3722.781065
anhelo  6   3.082499    1.7 7436.740333
anillo  6   14.82   1.95    7736.287475
anotar  6   4.37516 1.4 25529.23836
antojo  6   2.30647 1.75    20322.83058
anular  6   4.182774    1.25    19554.85629
añicos  6   1.938991    1.95    11280.67045
ápice   5   0.678755    1.9 4333.504914
apogeo  6   1.277529    1.95    4037.909294
apurar  6   1.258075    1.45    21274.53622
árbol   5   35  2.8 2400.518729
arder   5   4.066045    1.5 29690.0863
arroyo  6   6.61    2.25    14758.39712
arruga  6   1.152154    1.6 4907.180499
asedio  6   1.236458    1.7 17458.56446
astros  6   0.598774    1.7 45236.49413
ataque  6   56.79   2.45    8138.153711
atasco  6   1.3186  1.75    5699.717754
avance  6   24.46   2.55    11607.86065
avión   5   50.36   4.23505 2727.695892
axilas  6   0.977061    1.75    10888.98563
ayuda   5   105.18  1.9 11913.91851
ayudar  6   162.587762  1.5 23366.84802
azote   5   1.813616    1.45    6331.526166
azufre  6   2.401582    2.2 9080.639609
bailar  6   72.845111   1.45    20611.38817
baile   5   22.86   1.9 6978.500754
barco   5   47.68   4.272776    25706.51435
batida  6   1.437491    1.7 16552.8568
beber   5   29.64   3.620441    36968.62041
bíceps  6   1.126215    2.75    11086.65885
blanco  6   117.234391  1.45    14309.19317
bocado  6   4.46811 1.55    21577.98269
bondad  6   14.82   2   41949.57775
bosque  6   57.702822   1.8 23562.60816
broche  6   3.395937    1.6 7794.066004
bronce  6   3.80881 1.55    10470.19811
brotar  6   0.616067    1.5 26590.59941
bruja   5   9.46    1.8 2951.955234
brujo   5   3.776385    1.6 2937.947803
buey    4   3.906084    1.8 63995.34093
búfalo  6   4.450817    1.9 5676.192536
burro   5   13.93   1.65    12948.0819
busca   5   83.57   3.857197    17857.52334
buscar  6   148.649507  1.6 29310.45285
butaca  6   0.901404    1.95    20485.72965
cabeza  6   352.86  1.95    32923.39628
cabra   5   11.25   1.6 32912.56223
cabrón  6   7.32    2   27759.55144
cactus  6   2.442653    1.9 22823.67533
cadena  6   58.39   1.9 33025.65497
caer    4   52.958022   1.4 22343.4929
calle   5   163.035222  1   26511.37074
callo   5   2.721505    1   26224.05202
calma   5   30.71   1.45    26794.26243
calor   5   63.787839   1.7 36250.15619
calva   5   2.031942    1.2 25839.75561
calvo   5   8.21    1.65    24378.02861
cámara  6   94.310197   1.85    24539.58109
cambio  6   119.46  1.9 30312.2431
camino  6   205.71  1.85    27749.1799
camión  6   57.929794   1.8 26405.12174
camisa  6   30.54   1.95    27670.39677
campo   5   125.303793  1.1 26518.60794
canas   5   1.437491    1   30875.36766
caño    4   2.04275 1   16667.05395
capote  6   1.035426    1.65    23127.57821
captar  6   3.190581    1.4 34677.83122
carbón  6   17.5    1.9 33033.10387
cárcel  6   92.403631   2.05    5471.266938
cariño  6   352.911529  1.7 36235.24952
carmín  6   0.894919    1.95    35647.6379
cartón  6   3.687758    1.85    36180.15364
casado  6   58.554508   1   47605.82682
caseta  6   1.930345    1.4 38028.33877
casual  6   3.996873    1.95    31453.51776
cauce   5   0.611744    1.7 14859.98559
caza    4   25.54   1   14404.6317
cebo    4   4.99555 1   6794.610039
ceder   5   4.837751    1.5 30281.52835
ceja    4   1.75309 1   8977.782209
ceniza  6   2.494533    1.9 22834.64133
censo   5   1.301307    1.35    23678.44402
cerco   5   1.387773    1.3 27900.50128
cerdo   5   13.93   1.6 32805.50047
cerrar  6   44.482231   1.3 45498.71005
chalet  6   1.504502    1.8 9126.900897
chapa   5   1.941153    1   5678.501214
charca  6   0.678755    1.55    8154.05265
charco  6   3.646687    1.6 7556.973033
charla  6   9.64    1.65    8217.501121
chata   5   0.674432    1   13313.18724
chelo   5   1.11973 1.45    7460.116328
chica   5   75.71   1.6 11561.36814
chico   5   334.189564  1.3 9126.462076
chinas  6   2.578837    1.65    12627.73769
chisme  6   2.812294    1.7 8776.306624
chispa  6   7.14    2   7445.881978
chivo   5   3.616424    1.55    5949.802149
chocar  6   4.083338    1.5 22169.23685
chófer  6   4.775063    2.7 10971.42625
chorro  6   1.964931    1.55    18536.41887
choza   5   3.895276    1.45    6009.608231
ciclón  6   0.994354    2   8202.808284
cielo   5   158.878388  1.6 26864.90251
circo   5   14.82   1.75    10055.027
ciudad  6   271.07  2.8 17733.07546
clamor  6   0.663624    1.85    13129.85207
clave   5   45.36   1.7 9614.162615
clavel  6   0.654977    1.8 10940.07594
clavo   5   5.36    1.8 8269.4279
clero   5   1.565027    1.5 17894.04638
cobijo  6   1.039749    1.7 33873.32271
cobro   5   4.537283    1.45    37335.77094
coche   5   122.86  5.468283    41465.64487
cocido  6   2.075175    1.65    51499.36015
cocina  6   65.18   1.7 45050.11982
coger   5   45.305815   1.3 54298.03351
cogida  6   1.482885    1.7 37226.16061
cohete  6   6.43    1.95    33968.18851
colcha  6   0.927344    1.8 37801.5006
colmo   5   3.724506    1.35    38884.32235
color   5   66.537445   1.5 50910.81912
comer   5   205.249892  1.3 70847.7169
comida  6   200.273796  1.6 51954.97561
compás  6   2.758253    2   46989.40505
conejo  6   6.61    1.8 55891.10618
cónsul  6   3.521312    2.8 8071.758893
contar  6   65.13454    1.4 79770.637
copiar  6   2.887951    1.5 44373.99572
copos   5   1.575836    1.05    43879.25013
coraza  6   1.452622    1.85    63049.57846
cordón  6   4.420554    1.85    52895.94614
corral  6   4.293017    1.65    58633.87308
correr  6   61.708341   1.4 65822.46144
coyote  6   3.298663    1.85    38886.30239
creer   5   62.68   5.326126    40772.20349
cruce   5   9.64    1.95    7333.809531
cuadra  6   8.75    1.9 22769.23015
cuarto  6   175.116629  1.65    24385.31546
cuarzo  6   0.717665    1.9 15600.66935
cuello  6   63.649494   1.75    71994.39951
cuenca  6   0.860333    1.75    89205.17512
cuenco  6   1.361833    1.8 88608.0955
cuenta  6   365.36  1.75    98224.06309
cuento  6   47.469617   1.5 97994.25904
cuerda  6   18.21   1.75    80998.39809
cuerno  6   6.43    1.75    78562.78304
cuero   5   21.43   1.3 79164.35888
cuerpo  6   218.59802   1.75    78657.05431
cuesta  6   40.89   1.75    84639.09947
cueva   5   10  1.75    72739.00238
cuidar  6   42.136851   1.55    36705.85377
cúmulo  6   0.626876    1.85    3565.649271
cursi   5   3.408906    1.6 13353.34826
cutis   5   0.981385    1.8 14516.56578
danés   5   1.889273    1.9 12995.35468
deber   5   43.451128   1.4 94021.81347
dejar   5   266.724776  1.4 75863.71645
deje    4   21.25   3.80358 64605.47732
desliz  6   1.100275    1.85    70285.39907
desván  6   2.371319    1.85    68931.05798
devoto  6   2.542089    1.8 69061.12788
diablo  6   15.89   2.35    19923.57347
dicha   5   45.36   1.75    24038.36573
dictar  6   1.160801    1.55    36888.41303
diente  6   6.96    1.95    61296.64367
dinero  6   206.96  1.95    54614.04354
doctor  6   236.37751   1.6 15754.18256
dormir  6   179.132956  1.75    30220.9289
dorso   5   0.903566    1.75    24730.57043
dureza  6   1.716342    1.9 10850.32253
educar  6   2.667464    1.6 16805.26299
efecto  6   42.863162   1.6 8060.408081
elevar  6   2.250267    1.45    42725.53084
elogio  6   2.00384 1.65    25409.87878
eludir  6   1.817939    1.75    27452.54655
emisor  6   1.184579    2.05    8404.476466
emitir  6   3.24246 1.7 10003.88695
empeño  6   3.471594    1.5 9378.01652
encaje  6   3.041428    1.5 32371.60345
encías  6   1.217003    1.85    38472.78291
enero   5   25  1.85    37476.1738
engaño  6   12.32   2.3 30763.78179
enredo  6   1.590967    1.7 40878.82663
entrar  6   235.532309  1.5 54069.95274
enzima  6   1.245105    1.9 27339.81083
esbozo  6   0.568511    1.8 60526.82738
espiar  6   4.251946    1.55    77542.71403
espuma  6   12.86   2   64338.24865
estado  6   416.61  1.8 112265.4592
evitar  6   60.945282   1.45    21945.95018
excusa  6   14.29   2.4 7595.045993
exigir  6   2.20055 1.65    7012.429875
éxito   5   103.04  2   6229.944185
fatiga  6   2.578837    1.75    10640.32355
fauces  6   0.629037    1.8 12856.95582
fiebre  6   26.43   2.3 32926.58897
fijar   5   3.986064    1.25    18385.07586
fluir   5   6.79    0.209032    5802.313424
flujo   5   11.96   1.85    1587.687966
forzar  6   4.779386    1.55    31592.94154
fregar  6   2.053558    1.5 31105.95645
fuerza  6   132.52151   1.7 74397.20306
fulano  6   2.442653    1.8 19775.61147
fulgor  6   0.510147    2   13053.56773
