INDEX,EN,CH,multipicID
1,triangle,三角形,181
2,book,书,505
3,cloud,云,599
4,nun,修女,492
5,spoon,勺子,564
6,kitchen,厨房,730
7,fork,叉子,673
8,guitar,吉他,357
9,scarf,围巾,628
10,king,国王,451
11,bin,垃圾桶,749
12,cemetery,墓地,603
13,sun,太阳,488
14,trophy,奖杯,71
15,clown,小丑,532
16,chocolate,巧克力,593
17,pregnant,怀孕,329
18,ring,戒指,744
19,broom,扫把,590
20,nurse,护士,580
21,newspaper,报纸,61
22,drawer,抽屉,661
23,zip,拉链,223
24,hug,拥抱,694
25,ambulance,救护车,649
26,calendar,日历,108
27,moon,月亮,90
28,robot,机器人,87
29,lemon,柠檬,682
30,tree,树,693
31,pear,梨,42
32,comb,梳子,426
33,chair,椅子,122
34,cherry,樱桃,692
35,orange,橙子,236
36,balloon,气球,75
37,fruit,水果,114
38,sofa,沙发,67
39,desert,沙漠,47
40,onion,洋葱,26
41,pirate,海盗,265
42,pool,游泳池,362
43,train,火车,226
44,lighthouse,灯塔,540
45,oven,烤箱,384
46,milk,牛奶,96
47,priest,牧师,602
48,battery,电池,656
49,television,电视机,325
50,helicopter,直升机,80
51,glasses,眼镜,733
52,window,窗户,597
53,rope,绳子,517
54,teacher,老师,434
55,ear,耳朵,35
56,carrot,胡萝卜,285
57,pill,胶囊,556
58,neck,脖子,280
59,bike,自行车,23
60,tongue,舌头,503
61,strawberry,草莓,381
62,pineapple,菠萝,442
63,hanger,衣架,147
64,sock,袜子,416
65,calculator,计算器,516
66,football,足球,185
67,key,钥匙,78
68,mirror,镜子,340
69,door,门,546
70,lightning,闪电,506
71,statue,雕像,440
72,mask,面具,84
73,tie,领带,161
74,windmill,风车,675
75,perfume,香水,314
76,cigarette,香烟,153
77,banana,香蕉,69
78,bone,骨头,24
79,egg,鸡蛋,423
80,nose,鼻子,100
