words|s	conc|f	fre|f	l|f	bigr|f	neig|f	
novel	529	59	5	11.56	2	
permit	399	77	6	13.29	1	
boat	637	72	4	10.17	9	
appear	271	118	6	12.2	1	
spite	262	56	5	11.39	8	
soil	581	54	4	8.17	6	
rear	402	51	4	9.77	14	
hero	428	52	4	8.86	5	
five	365	286	4	10.03	9	
sweet	463	70	5	10.05	5	
metal	582	61	5	10.57	2	
alone	390	195	5	12.04	3	
corner	533	115	6	16.08	1	
number	395	472	6	14.68	2	
burden	391	44	6	14.52	0	
teach	353	41	5	13.19	5	
test	520	119	4	9.9	12	
enemy	434	88	5	9.14	1	
wind	552	63	4	10.81	12	
china	578	69	5	12.57	3	
bible	585	59	5	9.62	0	
queen	537	41	5	11.54	1	
second	344	373	6	15.75	0	
coat	601	43	4	10.13	9	
gone	321	195	4	9.67	11	
main	324	119	4	10.02	9	
talent	290	40	6	14.46	0	
curve	447	45	5	9.42	2	
rate	308	209	4	8.56	16	
lawyer	569	43	6	12.19	1	
income	429	109	6	13.8	0	
mold	486	45	4	9.87	11	
caught	340	98	6	14.09	2	
find	351	399	4	10.01	11	
chief	503	119	5	11.96	1	
length	365	116	6	13.19	0	
read	420	173	4	9.74	10	
past	293	281	4	10.36	14	
dollar	575	46	6	12.72	1	
liquid	555	48	6	10.23	0	
agency	426	56	6	11.84	0	
pass	385	89	4	9.61	12	
window	609	119	6	13.75	0	
safe	376	58	4	8.68	7	
beach	612	61	5	13.68	7	
school	573	492	6	13.4	0	
rifle	606	63	5	9.69	0	
square	516	143	6	12.29	1	
smooth	406	42	6	11.76	0	
trip	448	81	4	6.76	5	
reason	332	241	6	15.31	1	
driver	553	49	6	14.29	3	
hear	394	153	4	10.16	15	
proof	328	40	5	10.44	0	
room	566	383	4	10.43	9	
size	354	138	4	7.19	4	
advice	291	51	6	13.53	1	
fill	372	50	4	10.45	15	
cousin	502	51	6	14.08	0	
ring	593	47	4	9.17	11	
avenue	539	46	6	10.27	1	
summer	439	134	6	14.98	2	
march	440	120	5	12.34	3	
broken	383	63	6	15.23	1	
grass	599	53	5	12.26	7	
king	559	88	4	9.37	9	
plane	535	114	5	12.11	6	
load	439	45	4	9.26	9	
busy	329	58	4	8.22	4	
engine	586	50	6	13.47	0	
extra	262	50	5	8.46	0	
keep	339	264	4	9.31	9	
mind	333	325	4	9.78	12	
speech	453	61	6	13.23	0	
seek	375	69	4	9.34	10	
foot	558	70	4	9.26	12	
lead	543	129	4	9.9	13	
bridge	623	98	6	12.66	2	
ever	299	345	4	10.03	3	
west	355	235	4	10.75	14	
