words|s	l|f	fre|f	neig|f	bigr|f	
miedo	5	149.82	2	44392.1724	
piensa	6	159.7863	1.75	44287.4064	
toque	5	41.8299	1.4	14506.7886	
ayudar	6	162.5878	1.5	23366.848	
virtud	6	25.18	2.9	14245.7252	
hierba	6	23.57	1.95	35211.2675	
ruso	4	22.86	1.55	8403.2226	
rato	4	72.5	3.7488	14183.1328	
puerto	6	54.46	1.7	85561.1772	
feliz	5	283.7996	1.8	16029.2512	
amigo	5	158.39	1.9	11249.2358	
amante	6	33.39	1.95	20644.6816	
avance	6	24.46	2.55	11607.8607	
futuro	6	133.1441	1.8	16579.78	
salir	5	385.027	1.3	25158.5515	
verdad	6	311.25	2	51007.1351	
cuesta	6	40.89	1.75	84639.0995	
último	6	171.4829	2.1	11165.602	
entrar	6	235.5323	1.5	54069.9527	
oferta	6	31.96	2.2	19840.3699	
chico	5	334.1896	1.3	9126.4621	
tratar	6	63.0637	1.3	39828.3389	
subir	5	58.2238	1.7	18360.6969	
grande	6	253.4674	1.65	29518.1582	
estado	6	416.61	1.8	112265.4592	
busca	5	83.57	3.8572	17857.5233	
conoce	6	122.5974	1.7	58361.4199	
robar	5	45.522	1.05	16453.6137	
cuarto	6	175.1166	1.65	24385.3155	
enero	5	25	1.85	37476.1738	
virgen	6	29.64	2.8	19803.8467	
rápido	6	334.8337	1.9	13751.2068	
viuda	5	31.43	1.9	15570.8127	
sitio	5	92.32	4.8697	19837.4819	
saber	5	210.18	1.85	50934.4931	
detrás	6	143.3578	1.95	65913.3692	
hierro	6	20.18	1.9	40897.2047	
pueblo	6	179.5458	1.85	70773.9634	
cariño	6	352.9115	1.7	36235.2495	
buscar	6	148.6495	1.6	29310.4529	
viste	5	124.9298	1.25	28355.7686	
cuenta	6	365.36	1.75	98224.0631	
barco	5	47.68	4.2728	25706.5144	
valle	5	22.32	1.8	20853.0355	
rueda	5	22.86	1.8	73324.2945	
joven	5	201.07	2.65	12510.6308	
lunes	5	40.89	2.25	20630.5227	
tomar	5	111.96	5.6628	37163.9766	
verano	6	59.6937	1.75	56184.6372	
perder	6	143.0919	1.75	55949.1266	
fuerza	6	132.5215	1.7	74397.2031	
coger	5	45.3058	1.3	54298.0335	
morir	5	230.0223	1.7	30120.9661	
padre	5	383.57	1.9	35263.8992	
manos	5	286.0628	1	35051.5742	
llevar	6	145.3617	1.35	26675.4285	
dejar	5	266.7248	1.4	75863.7165	
quedar	6	64.7865	1.45	138939.1905	
baile	5	22.86	1.9	6978.5008	
creer	5	62.68	5.3261	40772.2035	
llamar	6	152.7069	1.35	29085.4282	
cuero	5	21.43	1.3	79164.3589	
juego	5	160.18	1.8	70605.3749	
doctor	6	236.3775	1.6	15754.1826	
mezcla	6	42.5	2.45	18576.0049	
tocar	5	69.0622	1.25	27259.7869	
hijo	4	224.46	1.5	9945.1399	
deber	5	43.4511	1.4	94021.8135	
árbol	5	35	2.8	2400.5187	
vivir	5	218.6845	1.65	15508.8255	
hogar	5	37.68	3.4809	20853.9672	
contar	6	65.1345	1.4	79770.637	
nieve	5	39.29	2.3	28192.1041	
rico	4	30.89	3.3421	8403.7501	
color	5	66.5374	1.5	50910.8191	
éxito	5	103.04	2	6229.9442	
fiebre	6	26.43	2.3	32926.589	
quizás	6	293.3713	2.25	66497.8199	
ganas	5	64.11	3.4515	19638.3386	
coche	5	122.86	5.4683	41465.6449	
