words|s	fre|f	bigr|f	l|f	neig|f	
jauzi	42.52	9.57	5	2	
ezik	266.91	6.9	4	4	
atal	148.68	6.28	4	5	
landu	108.36	10.15	5	5	
zabal	127.83	8.09	5	3	
kanpo	204.09	8.11	5	1	
udal	190.1	5.84	4	5	
kendu	204.64	9.57	5	4	
ordez	189.83	10.39	5	4	
osoan	225.21	8.79	5	3	
lege	273.22	5.96	4	4	
gorako	40.33	13.49	6	5	
jabetu	56.24	12.21	6	2	
soka	43.62	5.04	4	15	
nahiko	322.05	12.21	6	2	
ibai	76.53	5.01	4	2	
denda	47.73	9.34	5	4	
nahian	123.72	12.55	6	4	
mutiko	63.09	12.38	6	3	
erabat	253.74	11.66	6	0	
gain	374.72	9.08	4	9	
maiz	117.68	7.12	4	5	
ugari	238.66	8.5	5	3	
tokian	74.34	11.95	6	3	
begira	483.35	13.57	6	2	
obra	144.29	6.11	4	1	
fase	46.08	5.12	4	3	
mutur	46.36	9.12	5	1	
lore	79	7.83	4	7	
oinez	45.81	9.28	5	7	
eroan	40.33	9.28	5	5	
salto	54.04	8.48	5	3	
erosi	129.75	8.45	5	5	
erdiko	69.95	13.25	6	4	
jantzi	105.61	12.41	6	0	
ezinik	68.85	11.26	6	2	
osasun	98.21	10.4	6	1	
tarte	60.9	11.08	5	3	
erran	125.36	10.41	5	7	
zehatz	86.41	12.05	6	2	
pauso	59.53	9.08	5	3	
eusko	198.33	8.52	5	0	
goitik	71.05	12.28	6	3	
molde	46.91	8.8	5	2	
lasai	147.58	8.77	5	1	
burura	43.07	12.58	6	1	
pozik	168.16	8.33	5	1	
estali	41.15	11.87	6	1	
ostera	114.39	13.4	6	4	
pare	108.36	7.58	4	13	
ahalik	119.6	10.94	6	5	
izen	308.61	8.6	4	7	
maisu	70.22	8.35	5	3	
zerga	95.46	8.92	5	6	
hona	257.04	7.61	4	9	
gaixo	50.75	8.54	5	3	
mota	373.07	7.02	4	12	
hurbil	87.23	9.34	6	1	
apur	94.09	5.19	4	5	
polit	44.44	7.52	5	1	
horma	68.03	9.08	5	4	
arlo	115.76	5.82	4	5	
odol	73.52	3.76	4	1	
bidaia	89.7	12.28	6	2	
zelako	92.44	13.23	6	5	
gaitu	104.24	11.71	5	8	
osaba	56.78	7.54	5	1	
mugatu	52.4	11.65	6	2	
honako	364.02	13.49	6	6	
poesia	67.48	10.04	6	0	
mundu	347.29	9.42	5	3	
bilatu	121.25	13.11	6	3	
jaio	181.6	7.43	4	8	
ipuin	102.87	7	5	0	
jende	314.37	9.61	5	1	
azal	69.95	6.78	4	5	
plan	69.13	5.95	4	7	
nabari	81.2	11.1	6	2	
zaldi	68.85	9.85	5	0	
jaiki	57.88	10.52	5	8	
