Word	Match
luchar	burrar
regla	bedra
nombre	gumbre
deje	vebe
tierra	siella
niño	gijo
cabeza	cacepo
siente	sueste
cerca	cinca
cerrar	cichar
parque	manque
cinco	cengo
cielo	cauro
honor	gosor
ataque	acapie
lucha	furra
calle	marre
vuelo	duero
amiga	asama
campo	cacno
jueves	juejos
resto	runto
dinero	ticera
beber	bejor
rival	bibal
comer	conir
junio	jusia
sangre	tandre
venir	desir
cuatro	celtro
noche	gorre
huevo	guejo
cuerpo	cuenjo
correr	cochir
opcion	oglaon
caza	maba
niña	gija
piel	pial
rojo	bovo
abrir	atror
viento	vuesto
llave	plaje
comida	cocado
tienda	sianda
imagen	isimen
huella	nuerra
llegar	plemar
efecto	ejirto
llama	plasa
jugar	zubar
angel	argil
ciudad	cizcad
lluvia	pluvio
cuento	ciesto
ingles	inclas
novia	govio
aceite	aviore
unico	ucaso
muerto	piorto
blanco	drarco
avion	avaal
camino	cacira
rincon	rengon
reloj	rerob
veras	delas
vuelto	dialto
cuello	ciecho
origen	ocijin
puesto	piento
querer	quelir
pensar	pernar
viejo	dievo
volver	vulvor
venido	fesado
anoche	acutre
casado	cacida
jamas	jados
caer	mair
seguir	teguer
marcha	mantra
