words|s	conc|f	fre|f	l|f	bigr|f	neig|f	
wine	621	72	4	10.61	21	
sight	393	86	5	13.26	9	
move	390	171	4	10.17	10	
judge	506	77	5	8.97	3	
uncle	580	57	5	10.12	0	
wrote	385	181	5	11.8	1	
plant	594	125	5	12.52	5	
search	371	66	6	14.69	1	
stop	308	120	4	7.56	5	
style	344	98	5	10.72	3	
walk	452	100	4	9.19	4	
stone	614	58	5	12.36	8	
sleep	484	65	5	10.62	5	
paid	386	145	4	10.28	8	
coast	562	61	5	12.35	3	
ground	558	186	6	15.74	1	
supply	368	102	6	14.46	1	
grace	314	40	5	12.82	7	
chance	254	131	6	14.63	2	
beauty	336	71	6	13.82	0	
human	583	299	5	11.08	0	
rain	600	70	4	9.23	10	
plan	357	205	4	8.85	3	
board	565	239	5	11.58	3	
pull	360	51	4	8.9	13	
court	509	230	5	12.96	1	
spot	512	57	4	7.05	7	
play	468	200	4	8.58	5	
deep	400	109	4	9.44	9	
signal	464	63	6	12.53	0	
told	318	413	4	9.42	8	
feel	324	216	4	9.55	9	
bear	585	57	4	10.33	18	
side	394	380	4	8.99	11	
note	525	127	4	8.3	9	
tool	570	40	4	9.05	8	
native	471	46	6	13.51	0	
father	594	183	6	16.86	4	
valley	575	73	6	14	2	
sale	364	44	4	9.88	17	
clean	392	70	5	12.3	3	
oxygen	484	43	6	10.18	0	
club	509	145	4	6.67	2	
desk	583	65	4	8.48	3	
till	365	50	4	10.58	15	
kill	386	63	4	10.12	13	
leader	487	74	6	15.53	6	
union	449	182	5	10.55	1	
slow	293	60	4	7.91	12	
junior	384	75	6	12.47	0	
watch	487	81	5	12.36	7	
stand	450	148	5	12.82	2	
circle	515	60	6	12.66	0	
milk	670	49	4	9.19	6	
true	269	231	4	5.98	1	
spirit	296	182	6	11.77	0	
talk	422	154	4	9.13	8	
horse	613	117	5	13.32	5	
heat	472	97	4	11.19	11	
normal	237	136	6	14.09	1	
help	320	311	4	9.47	7	
season	445	105	6	15.14	1	
train	592	82	5	12.38	6	
narrow	372	63	6	13.31	4	
coffee	613	78	6	12.31	1	
open	381	319	4	8.93	3	
guess	247	56	5	10.82	1	
memory	284	76	6	14.29	0	
care	342	162	4	10.52	22	
center	371	224	6	15.59	1	
choose	308	50	6	14.87	1	
birth	471	66	5	11.92	5	
truth	261	126	5	11.82	0	
book	609	193	4	10.07	12	
hall	565	152	4	10.85	17	
game	477	123	4	9.93	13	
public	356	438	6	13.47	0	
flesh	597	52	5	11.25	3	
mother	579	216	6	16.68	1	
salary	456	43	6	13.31	0	
