words|s	l|f	fre|f	neig|f	bigr|f	
luchar	6	50.9001	1.3	24921.6639	
regla	5	26.25	1.9	18687.7102	
nombre	6	272.5	2.2	65458.2765	
deje	4	21.25	3.8036	64605.4773	
tierra	6	256.4591	1.7	47897.6288	
niño	4	272.4012	1.15	6568.7337	
cabeza	6	352.86	1.95	32923.3963	
siente	6	124.2295	1.45	62526.9	
cerca	5	262.6501	1.15	30335.4074	
cerrar	6	44.4822	1.3	45498.7101	
parque	6	43.6349	1.4	43932.8133	
cinco	5	257.6891	1.55	13994.9966	
cielo	5	158.8784	1.6	26864.9025	
honor	5	42.32	4.0059	39465.6781	
ataque	6	56.79	2.45	8138.1537	
lucha	5	51.5919	1	13468.7344	
calle	5	163.0352	1	26511.3707	
vuelo	5	49.29	1.75	64541.8122	
amiga	5	52.14	4.3632	9792.9951	
campo	5	125.3038	1.1	26518.6079	
jueves	6	33.04	2.95	74521.8324	
resto	5	127.86	4.7192	33534.5965	
dinero	6	206.96	1.95	54614.0435	
beber	5	29.64	3.6204	36968.6204	
rival	5	21.96	1.95	6280.6628	
comer	5	205.2499	1.3	70847.7169	
junio	5	29.46	1.85	10906.9855	
sangre	6	184.46	2.65	32063.0052	
venir	5	51.07	5.9756	35203.464	
cuatro	6	240.6381	1.8	23205.2394	
noche	5	405.71	1.85	48634.9424	
huevo	5	20.36	1.75	64729.0967	
cuerpo	6	218.598	1.75	78657.0543	
correr	6	61.7083	1.4	65822.4614	
opción	6	25.18	2.2	9630.0787	
caza	4	25.54	1	14404.6317	
niña	4	157.951	1.2	4923.9201	
piel	4	62.7438	1.5	24869.3822	
rojo	4	63.75	3.4549	6000.2612	
abrir	5	49.11	3.3444	10721.4953	
viento	6	70.54	1.9	57295.024	
llave	5	22.86	1.9	13367.9718	
comida	6	200.2738	1.6	51954.9756	
tienda	6	100.9183	1.6	54980.9861	
imagen	6	163.93	2.9	12157.5614	
huella	6	20	1.9	65056.782	
llegar	6	247.8623	1.25	28783.8923	
efecto	6	42.8632	1.6	8060.4081	
llama	5	112.68	5.8383	17632.4987	
jugar	5	68.57	4.7234	18267.1152	
ángel	5	42.9388	1.85	3722.7811	
ciudad	6	271.07	2.8	17733.0755	
lluvia	6	59.46	2.7	10770.2186	
cuento	6	47.4696	1.5	97994.259	
inglés	6	59.1814	2.2	7486.5965	
novia	5	31.07	4.3863	42037.0417	
aceite	6	22.68	2.45	11110.8262	
único	5	264.6366	1.75	6673.2966	
muerto	6	362.2023	1.55	86396.7095	
blanco	6	117.2344	1.45	14309.1932	
avión	5	50.36	4.2351	2727.6959	
camino	6	205.71	1.85	27749.1799	
rincón	6	40.36	2.85	11348.3536	
reloj	5	50.71	2.1	26904.9948	
veras	5	121.5533	1	55061.8467	
vuelto	6	122.5909	1.7	69052.7229	
cuello	6	63.6495	1.75	71994.3995	
origen	6	102.14	2.75	14115.789	
puesto	6	142.1927	1.55	84420.5229	
querer	6	49.0455	1.85	138658.8626	
pensar	6	230.6513	1.5	47901.2064	
viejo	5	167.5	6.1108	27786.2021	
volver	6	314.0669	1.75	22374.8691	
venido	6	162.9596	1.55	42466.6267	
anoche	6	156.6605	1.85	6732.705	
casado	6	58.5545	1	47605.8268	
jamás	5	151.3191	1.7	13581.3299	
caer	4	52.958	1.4	22343.4929	
seguir	6	181.2427	1.7	33747.5626	
marcha	6	64.1359	1.15	32610.6157	
