Word	Match
abere	adiri
igande	inendi
kide	gede
ardatz	angatz
zeharo	tedaru
aditz	abatz
orduko	onkoko
froga	brega
masa	kaza
estilo	endido
mina	kipa
beteko	bidiko
arrunt	arrort
erdi	engi
kanta	marta
anaia	evaio
argi	anbi
zulo	guno
baldin	bendin
kontu	zentu
premia	grexea
neurri	doirri
luze	guge
nolako	tikako
musika	hudeka
beldur	beskur
ogasun	odapin
ezetz	egutz
areago	eliano
erre	irru
plaza	kraba
eratu	uvitu
leku	goku
preso	broso
esate	evako
arreta	ellera
txiki	txeti
beltz	zeltz
karga	marla
minutu	kidotu
hortz	hurtz
ukan	uten
gertu	gintu
doan	nean
ederki	ezanki
disko	nesko
etxeko	elleri
nobela	fonena
bertso	baltso
pena	hepa
aste	ezte
pisu	hihu
asmatu	etnatu
aldera	eldika
jabe	naze
iraun	oroin
egia	ixea
onik	inix
iturri	ikotzi
ezagun	esapin
jaten	jakan
ontzi	intxi
gela	lola
prest	prenk
edan	epen
baietz	baauts
adar	abor
txori	txeru
ildo	urdo
arropa	ellepa
medio	hexeo
ireki	oriri
paper	pagor
parean	nakeon
seme	hene
batean	baxion
buruan	bukoon
zentzu	gontzu
abiatu	ixaitu
gidari	kigare
