words|s	fre|f	bigr|f	l|f	neig|f	
abere	58.15	7.3	5	0	
igande	51.02	9.81	6	0	
kide	74.61	6.22	4	4	
ardatz	72.97	13.03	6	2	
zeharo	91.62	11.38	6	0	
aditz	112.2	8.08	5	2	
orduko	198.6	13.02	6	4	
froga	60.35	6.56	5	1	
masa	61.17	6.56	4	16	
estilo	52.94	10.37	6	0	
mina	75.44	6	4	15	
beteko	74.07	14.16	6	6	
arrunt	56.51	10.64	6	0	
erdi	328.63	6.44	4	7	
kanta	82.29	9.73	5	11	
anaia	90.53	8.28	5	3	
argi	447.96	6.85	4	4	
zulo	74.07	6.11	4	4	
baldin	418.33	13.17	6	0	
kontu	179.13	9.86	5	4	
premia	63.37	9.34	6	0	
neurri	215.06	11.87	6	0	
luze	240.03	5.88	4	4	
nolako	135.79	12.32	6	3	
musika	195.86	11.69	6	3	
beldur	142.1	11.64	6	1	
ogasun	40.87	8.3	6	1	
ezetz	70.22	8.02	5	1	
areago	73.24	11.27	6	2	
erre	80.65	7.18	4	10	
plaza	91.35	8.3	5	4	
eratu	83.94	10.22	5	4	
leku	339.88	6.09	4	4	
preso	64.74	7.31	5	2	
esate	179.95	9.33	5	2	
arreta	85.31	12.78	6	6	
txiki	281.72	8.25	5	4	
beltz	100.4	9.62	5	1	
karga	79.83	8.7	5	7	
minutu	86.68	11.53	6	1	
hortz	40.05	10.3	5	4	
ukan	74.89	6.01	4	3	
gertu	63.92	11.2	5	6	
doan	100.95	7.68	4	8	
ederki	107.26	10.53	6	1	
disko	48.01	8.95	5	3	
etxeko	199.43	12.88	6	1	
nobela	57.06	11.83	6	2	
bertso	148.13	13.02	6	1	
pena	42.79	6.4	4	9	
aste	112.2	7.85	4	7	
pisu	66.39	5.45	4	5	
asmatu	142.92	11.27	6	3	
aldera	189.83	13.25	6	5	
jabe	148.13	7.45	4	9	
iraun	117.13	8.68	5	4	
egia	478.13	8.44	4	5	
onik	58.7	5.34	4	2	
iturri	105.89	11.16	6	2	
ezagun	59.8	10.84	6	1	
jaten	142.1	11.71	5	12	
ontzi	68.31	7.22	5	3	
gela	133.87	8.4	4	12	
prest	144.57	7.13	5	2	
edan	68.85	6.87	4	8	
baietz	82.84	11.84	6	0	
adar	61.17	5.64	4	5	
txori	41.42	8.31	5	3	
ildo	47.73	6.14	4	3	
arropa	46.63	9.94	6	4	
medio	86.14	8.38	5	1	
ireki	157.18	8.68	5	4	
paper	109.18	7.17	5	2	
parean	50.75	13.96	6	7	
seme	194.76	4.9	4	0	
batean	211.5	15.48	6	12	
buruan	184.34	13.13	6	4	
zentzu	114.12	12.65	6	7	
abiatu	157.46	11.31	6	1	
gidari	46.63	11.71	6	2	
