'三角形','triangle'
'书','book'
'云','cloud'
'修女','nun'
'勺子','spoon'
'厨房','kitchen'
'叉子','fork'
'吉他','guitar'
'围巾','scarf'
'国王','king'
'垃圾桶','bin'
'墓地','cemetery'
'太阳','sun'
'奖杯','trophy'
'小丑','clown'
'巧克力','chocolate'
'怀孕','pregnant'
'戒指','ring'
'扫把','broom'
'护士','nurse'
'报纸','newspaper'
'抽屉','drawer'
'拉链','zip'
'拥抱','hug'
'救护车','ambulance'
'日历','calendar'
'月亮','moon'
'机器人','robot'
'企鹅','penguin'
'树','tree'
'梨','pear'
'梳子','comb'
'椅子','chair'
'樱桃','cherry'
'长颈鹿','giraffe'
'气球','balloon'
'水果','fruit'
'沙发','sofa'
'沙漠','desert'
'洋葱','onion'
'海盗','pirate'
'游泳池','pool'
'火车','train'
'灯塔','lighthouse'
'烤箱','oven'
'牛奶','milk'
'牧师','priest'
'电池','battery'
'电视机','television'
'直升机','helicopter'
'眼镜','glasses'
'窗户','window'
'绳子','rope'
'老师','teacher'
'耳朵','ear'
'胡萝卜','carrot'
'胶囊','pill'
'脖子','neck'
'自行车','bike'
'舌头','tongue'
'草莓','strawberry'
'菠萝','pineapple'
'衣架','hanger'
'袜子','sock'
'计算器','calculator'
'足球','football'
'钥匙','key'
'镜子','mirror'
'门','door'
'闪电','lightning'
'雕像','statue'
'面具','mask'
'领带','tie'
'风车','windmill'
'香水','perfume'
'香烟','cigarette'
'香蕉','banana'
'骨头','bone'
'鸡蛋','egg'
'鼻子','nose'
