,LEMMA,freq,FORM,POSTAG,DEPREL
0,essere,269760,è,V,ROOT
2,essere,269760,è,V,conj
3,essere,269760,sarà,V,sub
4,essere,269760,fosse,V,arg
5,essere,269760,stato,V,pred
6,essere,269760,sarebbe,VA,aux
7,essere,269760,fosse,V,mod_rel
8,essere,269760,sono,VA,aux
9,essere,269760,è,VA,aux
10,essere,269760,sarà,V,ROOT
12,essere,269760,sarebbe,V,ROOT
13,essere,269760,È,V,ROOT
15,essere,269760,è,V,prep
17,essere,269760,stato,VA,aux
19,essere,269760,era,V,ROOT
25,essere,269760,sono,V,mod_rel
26,essere,269760,è,V,sub
29,essere,269760,erano,V,mod_rel
31,essere,269760,stati,VA,aux
39,essere,269760,era,V,conj
40,essere,269760,erano,V,ROOT
41,essere,269760,Sono,VA,aux
42,essere,269760,stati,V,ROOT
44,essere,269760,Era,V,ROOT
45,essere,269760,era,V,mod_rel
49,essere,269760,era,VA,aux
53,essere,269760,sia,VA,mod_rel
54,essere,269760,fossero,V,sub
56,essere,269760,stato,V,ROOT
58,essere,269760,È,VA,aux
59,essere,269760,fosse,V,aux
61,essere,269760,sono,V,sub
62,essere,269760,sono,V,ROOT
67,essere,269760,è,V,mod_rel
75,essere,269760,stata,VA,aux
77,essere,269760,fu,VA,aux
87,essere,269760,furono,V,conj
88,essere,269760,erano,V,sub
89,essere,269760,essere,V,prep
90,essere,269760,sia,V,conj
91,essere,269760,siamo,V,mod_rel
94,essere,269760,siamo,V,sub
104,essere,269760,stata,V,mod_rel
107,essere,269760,essere,V,ROOT
120,essere,269760,sarebbe,V,sub
137,essere,269760,stata,V,ROOT
146,essere,269760,essere,VA,aux
296,essere,269760,sono,V,conj
301,essere,269760,Ero,V,ROOT
310,essere,269760,Fu,V,ROOT
312,essere,269760,fu,V,ROOT
313,essere,269760,essere,VA,prep
315,essere,269760,ero,V,ROOT
316,essere,269760,sarebbe,V,arg
318,essere,269760,fosse,V,sub
322,essere,269760,esser-,V,arg
323,essere,269760,ero,V,conj
328,essere,269760,è,V,pred
331,essere,269760,sia,V,sub
341,essere,269760,esser,V,prep
344,essere,269760,è,V,arg
357,essere,269760,Sono,V,ROOT
359,essere,269760,siano,V,sub
369,essere,269760,fu,V,sub
370,essere,269760,eravamo,V,sub
373,essere,269760,fu,V,mod_rel
374,essere,269760,Erano,V,ROOT
385,essere,269760,fu,V,arg
386,essere,269760,fosse,V,ROOT
390,essere,269760,sarebbero,VA,aux
393,essere,269760,state,VA,aux
396,essere,269760,siamo,V,ROOT
422,essere,269760,essere,V,arg
429,essere,269760,erano,VA,aux
437,essere,269760,state,V,sub
438,essere,269760,era,V,sub
451,essere,269760,essendo-,V,mod
466,essere,269760,sia,V,arg
467,essere,269760,essendo,V,mod
469,essere,269760,sia,VA,aux
480,essere,269760,erano,V,conj
481,essere,269760,fosse,VA,aux
486,essere,269760,sia,V,ROOT
493,essere,269760,sia,V,mod
513,essere,269760,era,V,aux
517,essere,269760,stata,V,pred
520,essere,269760,furono,V,ROOT
545,essere,269760,è,V,mod
556,essere,269760,stato,V,conj
582,essere,269760,sarà,V,conj
628,essere,269760,saranno,V,ROOT
633,essere,269760,siano,V,mod_rel
642,essere,269760,stati,V,pred
664,essere,269760,sia,V,mod_rel
687,essere,269760,sono,V,mod
689,essere,269760,era,V,arg
716,essere,269760,fu,V,conj
721,essere,269760,essere,V,mod_rel
728,essere,269760,sono,V,arg
737,essere,269760,essere,VA,sub
756,essere,269760,sarebbero,V,mod_rel
769,essere,269760,Sarebbe,V,ROOT
772,essere,269760,Stati,V,arg
774,essere,269760,sarebbe,V,conj
778,essere,269760,sarà,V,arg
788,essere,269760,stata,V,arg
807,essere,269760,stata,V,sub
830,essere,269760,SONO,V,ROOT
834,essere,269760,essendo,V,sub
836,essere,269760,Fosse,V,prep
845,essere,269760,esser-,V,sub
853,essere,269760,essere,V,sub
869,essere,269760,Stati,V,prep
877,essere,269760,essere,V,conj
888,essere,269760,sarebbero,V,conj
899,essere,269760,stato,VA,ROOT
906,essere,269760,Siamo,V,ROOT
914,essere,269760,siamo,V,conj
927,essere,269760,fossero,V,ROOT
928,essere,269760,state,V,pred
931,essere,269760,stata,V,conj
934,essere,269760,stato,V,mod_rel
1100,essere,269760,stato,V,sub
1105,essere,269760,Era,VA,aux
1125,essere,269760,saranno,V,arg
1128,essere,269760,furono,V,mod_rel
1165,essere,269760,era,VA,mod_rel
1215,essere,269760,stati,V,mod_rel
1222,essere,269760,essere,V,subj
1279,essere,269760,sarebbero,V,prep
1286,essere,269760,sono,VA,conj
1290,essere,269760,sarebbero,V,arg
1292,essere,269760,siano,VA,aux
1320,essere,269760,siano,V,arg
1344,essere,269760,fossimo,V,sub
1345,essere,269760,saremmo,VA,aux
1349,essere,269760,essere,V,pred
1373,essere,269760,esseri,S,prep
1380,essere,269760,saranno,V,mod_rel
1386,essere,269760,siete,V,sub
1400,essere,269760,Saranno,V,ROOT
1428,essere,269760,SONO,VA,aux
1430,essere,269760,SAREBBE,VA,aux
1431,essere,269760,STATO,V,sub
1433,essere,269760,ERO,V,sub
1434,essere,269760,ERAVAMO,V,sub
1435,essere,269760,STATI,V,pred
1436,essere,269760,ERA,V,mod_rel
1437,essere,269760,SIA,V,sub
1440,essere,269760,SIAMO,V,ROOT
1444,essere,269760,siete,V,ROOT
1449,essere,269760,Sarà,V,ROOT
1490,essere,269760,siamo,VA,aux
1513,essere,269760,esser-,V,conj
1522,essere,269760,saremo,V,sub
1562,essere,269760,siano,V,ROOT
1633,essere,269760,Essere,VA,aux
1741,essere,269760,esser-,V,subj
1796,essere,269760,siano,V,mod
1808,essere,269760,è,VA,ROOT
1810,essere,269760,esser,V,ROOT
1811,essere,269760,saranno,V,conj
1848,essere,269760,siano,V,prep
1878,essere,269760,furono,V,arg
1903,essere,269760,furono,VA,aux
1958,essere,269760,sei,V,sub
2031,essere,269760,fossero,V,conj
2043,essere,269760,fosse,V,conj
2081,essere,269760,era,V,pred
2114,essere,269760,sarebbero,V,ROOT
2125,essere,269760,sarebbe,V,mod_rel
2140,essere,269760,sarò,V,ROOT
2150,essere,269760,state,V,conj
2159,essere,269760,sia,V,prep
2261,essere,269760,ERANO,V,ROOT
2275,essere,269760,ero,V,sub
2287,essere,269760,SIANO,V,ROOT
2288,essere,269760,ESSERE,V,prep
2298,essere,269760,fosse,VA,sub
2365,essere,269760,saranno,V,sub
2455,essere,269760,Siamo,VA,aux
2467,essere,269760,è,V,aux
2473,essere,269760,stato,V,prep
2506,essere,269760,Essere,V,subj
2573,essere,269760,era,VA,ROOT
2576,essere,269760,sarà,V,mod_rel
2582,essere,269760,SONO,V,conj
2583,essere,269760,SONO,V,mod_rel
2597,essere,269760,ESSERE,V,mod_rel
2644,essere,269760,Erano,VA,aux
2725,essere,269760,sarebbe,V,subj
2759,essere,269760,stati,V,sub
2764,essere,269760,stato,V,mod
2829,essere,269760,furono,V,mod
2866,essere,269760,stati,V,conj
2940,essere,269760,siamo,V,arg
2959,essere,269760,È,V,arg
3014,essere,269760,siano,V,conj
3084,essere,269760,erano,VA,mod_rel
3086,essere,269760,state,VA,mod_rel
3117,essere,269760,sarebbero,V,sub
3142,essere,269760,Fu,VA,aux
3217,essere,269760,esser-,V,prep
3245,essere,269760,fosse,V,prep
3313,essere,269760,fossero,V,subj
3378,essere,269760,Stato,V,arg
3381,essere,269760,Stati,VA,aux
3386,essere,269760,Stato,V,prep
3388,essere,269760,Furono,V,ROOT
3396,essere,269760,Stato,V,mod
3402,essere,269760,Stato,V,aux
3403,essere,269760,sarà,V,prep
3405,essere,269760,esser,V,arg
3412,essere,269760,esseri,S,subj
3475,essere,269760,fu,V,prep
3498,essere,269760,Stato,V,ROOT
3502,essere,269760,Stato,VA,aux
3584,essere,269760,essere,VA,mod_rel
3622,essere,269760,esser-,VA,aux
3627,essere,269760,siete,V,mod_rel
3634,essere,269760,Siete,V,ROOT
3686,essere,269760,Essere,V,arg
3688,essere,269760,sarò,V,arg
3689,essere,269760,sarò,V,mod_rel
3722,essere,269760,esser,V,sub
3757,essere,269760,sia,V,pred
3758,essere,269760,siamo,V,mod
3806,essere,269760,essendo,V,conj
3846,essere,269760,eravamo,V,ROOT
3927,essere,269760,fu,VA,mod_rel
3989,essere,269760,saranno,VA,aux
4033,essere,269760,ero,V,mod_rel
4196,essere,269760,è,VA,conj
4531,essere,269760,saranno,V,mod
4546,essere,269760,sarebbe,V,prep
4576,essere,269760,era,V,prep
4606,essere,269760,era,VA,conj
4658,essere,269760,saranno,V,pred
4728,essere,269760,Sei,V,arg
4744,essere,269760,sia,VA,ROOT
4803,essere,269760,stato,V,arg
4804,essere,269760,essendo,V,ROOT
4818,essere,269760,state,V,mod_rel
4826,essere,269760,fu,VA,conj
4830,essere,269760,stata,V,subj
4848,essere,269760,siete,V,conj
5082,essere,269760,eravamo,VA,aux
5159,essere,269760,è,VA,mod_rel
5201,essere,269760,furono,V,sub
5418,essere,269760,sarò,V,pred
5488,essere,269760,esser-,V,mod_rel
5504,essere,269760,fossero,V,aux
5506,essere,269760,fossero,V,mod_rel
5722,essere,269760,state,V,ROOT
5842,essere,269760,essere,V,aux
6098,essere,269760,saremmo,VA,ROOT
6130,essere,269760,furono,V,prep
6133,essere,269760,stati,VA,mod_rel
6141,essere,269760,Stato,V,conj
6208,essere,269760,STATO,VA,aux
6218,essere,269760,sei,V,ROOT
6224,essere,269760,fosse,VA,arg
6244,essere,269760,saremo,V,mod_rel
6259,essere,269760,sia,VA,subj
6295,essere,269760,Sono,V,arg
6393,essere,269760,sono,VA,mod_rel
6552,essere,269760,Era,V,conj
6560,essere,269760,Era,V,mod_rel
6696,essere,269760,SIamo,V,ROOT
6753,essere,269760,essendo,V,subj
6807,essere,269760,sarebbe,V,mod
6895,essere,269760,sono,VA,sub
6972,essere,269760,sia,V,subj
6983,essere,269760,saremo,V,ROOT
7004,essere,269760,Essere,V,conj
7005,essere,269760,essere,V,disj
7107,essere,269760,stati,V,mod
7130,essere,269760,state,VA,sub
7158,essere,269760,Eravamo,V,conj
7277,essere,269760,sarà,V,aux
7370,essere,269760,stati,V,aux
7427,essere,269760,essendo-,V,mod_rel
7681,essere,269760,siano,V,pred
7705,essere,269760,fosse,V,pred
7743,essere,269760,Stati,V,mod
7915,essere,269760,stati,V,arg
7975,essere,269760,fu,V,pred
7978,essere,269760,sono,VA,arg
7984,essere,269760,esseri,S,obj
8072,essere,269760,sei,V,mod_rel
8081,essere,269760,SIAMO,V,sub
