,LEMMA,freq,POSTAG
0,essere,269760,V
6,essere,269760,VA
1373,essere,269760,S
538487,avere,80872,V
538488,avere,80872,VA
539455,avere,80872,S
741138,questo,40391,PD
741139,questo,40391,DD
832698,come,40257,CS
832699,come,40257,E
832703,come,40257,B
832751,come,40257,S
834944,come,40257,CC
881556,come,40257,PQ
908140,anche,34208,B
980327,venire,30152,VA
980329,venire,30152,V
980707,venire,30152,S
1024638,fare,28709,V
1024826,fare,28709,VM
1043775,fare,28709,S
1101136,quello,27632,PD
1101139,quello,27632,DD
1166317,potere,27134,VM
1166318,potere,27134,S
1166346,potere,27134,V
1233858,altro,27039,PI
1233859,altro,27039,DI
1233863,altro,27039,A
1233869,altro,27039,S
1234208,altro,27039,B
1285255,anno,26156,S
1322343,tutto,24080,DI
1322344,tutto,24080,T
1322346,tutto,24080,PI
1322347,tutto,24080,B
1322355,tutto,24080,S
1322373,tutto,24080,A
1385626,primo,23352,NO
1385777,primo,23352,A
1386474,primo,23352,S
1414624,dopo,18163,B
1414626,dopo,18163,E
1414681,dopo,18163,CS
1416307,dopo,18163,A
1419241,dopo,18163,S
1439774,parte,17580,S
1466221,molto,17314,B
1466223,molto,17314,PI
1466228,molto,17314,DI
1466257,molto,17314,A
1466399,molto,17314,S
1500157,solo,15669,B
1500173,solo,15669,A
1500177,solo,15669,S
1537325,loro,13903,AP
1537327,loro,13903,PE
1545264,loro,13903,S
1555965,loro,13903,PP
1564309,nuovo,13857,A
1564328,nuovo,13857,B
1564474,nuovo,13857,S
1564827,nuovo,13857,SP
1588751,quale,13466,PR
1588766,quale,13466,DQ
1588783,quale,13466,B
1588788,quale,13466,DE
1588981,quale,13466,CS
1594517,quale,13466,PI
1594671,quale,13466,S
1599321,quale,13466,PQ
1599374,quale,13466,DR
1607522,dovere,12503,VM
1607539,dovere,12503,V
1607546,dovere,12503,S
1641920,alcuno,11592,DI
1641928,alcuno,11592,PI
1658060,dire,11110,V
1659282,dire,11110,VA
1659631,dire,11110,S
1696173,quando,10874,CS
1696188,quando,10874,B
1696257,quando,10874,S
1719586,grande,10565,A
1719606,grande,10565,S
1735042,vedere,10082,V
1762910,dare,9962,V
1784627,volta,9911,S
1802771,dove,9613,B
1803140,dove,9613,CS
1813230,dove,9613,PR
1816541,tempo,9348,S
1835818,mentre,8886,CS
1852912,ultimo,8721,A
1852913,ultimo,8721,B
1852919,ultimo,8721,S
1868142,sempre,8660,B
1887882,nome,8537,S
1896792,così,8450,B
1899171,così,8450,CS
1916767,città,8227,S
1924179,Italia,8186,SP
1935580,fino,8046,B
1940514,fino,8046,E
1942062,fino,8046,CS
1947684,ancora,8021,B
1947732,ancora,8021,S
1967668,gruppo,7994,S
1967813,gruppo,7994,SP
1975400,storia,7976,S
1984680,andare,7975,V
2010531,prima,7954,B
2010540,prima,7954,S
2021048,prima,7954,CS
2021058,prima,7954,E
2026522,stesso,7716,A
2026524,stesso,7716,S
2026532,stesso,7716,PD
2034488,stesso,7716,DD
2038623,ogni,7371,DI
2054885,poco,7252,DI
2054887,poco,7252,B
2054892,poco,7252,A
2054895,poco,7252,PI
2055011,poco,7252,S
2071131,volere,7227,VM
2071132,volere,7227,V
2071277,volere,7227,S
2095961,film,7137,S
2095977,film,7137,SP
2098769,senza,7071,E
2098806,senza,7071,CS
2104765,senza,7071,S
2116772,vita,7054,S
2127865,contro,6973,E
2127901,contro,6973,B
2128362,contro,6973,S
2132545,contro,6973,SP
2140113,opera,6916,S
2145410,quindi,6824,B
2149878,quindi,6824,CC
2161888,noto,6822,A
2161889,noto,6822,S
2162202,noto,6822,V
