Concept,Familiarity (M),日本語,Length
Doll,2.92,人形,2
Fly,3.02,ハエ,2
Mitten,3.1,手袋,2
Sled,2.8,そり,2
Paintbrush,2.78,絵筆,2
Vase,2.78,花瓶,2
Hat,3.18,帽子,2
Screw,3.2,ねじ,2
Ant,2.62,アリ,2
Balloon,2.58,風船,2
Monkey,2.58,サル,2
Arrow,3.38,矢印,2
Glove,3.38,手袋,2
Church,3.38,教会,2
Thimble,2.48,指貫,2
Chisel,2.46,ノミ,2
Ring,3.48,指輪,2
Turtle,2.4,カメ,2
Pear,3.55,洋梨,2
Carrot,3.55,人参,2
Barn,2.38,納屋,2
Ashtray,3.56,灰皿,2
Ruler,3.58,定規,2
Cigar,2.35,葉巻,2
Spider,2.28,クモ,2
Wheel,2.22,車輪,2
Bell,2.2,ベル,2
Basket,2.18,かご,2
Squirrel,3.82,リス,2
Barrel,2.02,たる,2
Swan,1.97,白鳥,2
Glasses,4.0,眼鏡,2
Goat,1.92,ヤギ,2
Snake,1.9,ヘビ,2
Beetle,1.88,甲虫,2
Top,1.88,こま,2
Donkey,1.88,ロバ,2
Envelope,4.12,封筒,2
Windmill,1.8,風車,2
Train,4.15,列車,2
Light bulb,4.18,電球,2
Caterpillar,1.72,毛虫,2
Clock,4.38,時計,2
Bread,4.4,パン,2
Crown,1.52,王冠,2
Rhinoceros,1.52,サイ,2
Cannon,1.52,大砲,2
Pencil,4.42,鉛筆,2
Well,1.45,井戸,2
Bus,4.5,バス,2
Sock,4.52,靴下,2
Comb,4.52,くし,2
Chair,4.58,椅子,2
Broom,3.42,ほうき,3
Piano,3.42,ピアノ,3
Lettuce,3.42,レタス,3
Celery,3.4,セロリ,3
Pliers,3.38,ペンチ,3
Boot,3.38,ブーツ,3
Hammer,3.48,金づち,3
Vest,3.48,ベスト,3
Ladder,3.35,はしご,3
Onion,3.32,玉ねぎ,3
Guitar,3.58,ギター,3
Lemon,3.25,レモン,3
Dress,3.62,ドレス,3
Ball,3.2,ボール,3
Strawberry,3.2,いちご,3
Banana,3.65,バナナ,3
Cigarette,3.65,たばこ,3
Grapes,3.65,ブドウ,3
Spool of thread,3.12,糸巻き,3
Heart,3.72,ハート,3
Bottle,3.72,ボトル,3
Tomato,3.78,トマト,3
Airplane,3.78,飛行機,3
Bicycle,3.78,自転車,3
Watermelon,3.05,スイカ,3
Brush,3.8,ブラシ,3
Kettle,3.8,やかん,3
Peanut,3.0,落花生,3
Button,3.85,ボタン,3
Coat,3.88,コート,3
Rabbit,2.95,ウサギ,3
Sailboat,2.92,ヨット,3
Pipe,2.9,パイプ,3
Apple,3.98,りんご,3
Scissors,3.98,はさみ,3
Cake,4.02,ケーキ,3
Garbage can,4.08,ゴミ箱,3
Duck,2.75,アヒル,3
Baby carriage,2.72,乳母車,3
Wrench,2.72,レンチ,3
Belt,4.12,ベルト,3
Bowl,4.18,ボウル,3
Plug,4.18,プラグ,3
Lamp,4.2,ランプ,3
Drum,2.6,ドラム,3
Clown,2.6,ピエロ,3
Nut,2.55,ナット,3
Wagon,2.5,荷馬車,3
Mouse,2.45,ねずみ,3
Cup,4.4,カップ,3
Grasshopper,2.42,バッタ,3
Knife,4.45,ナイフ,3
Toe,4.48,つま先,3
Cap,3.12,キャップ,4
Nail file,3.15,爪やすり,4
Snowman,3.15,雪だるま,4
Pumpkin,3.08,かぼちゃ,4
Candle,3.08,ろうそく,4
Stool,3.08,スツール,4
Fence,3.02,フェンス,4
Swing,3.02,ブランコ,4
Saw,2.92,のこぎり,4
Pepper,2.92,コショウ,4
Orange,3.34,オレンジ,4
Watering can,2.72,じょうろ,4
Skirt,3.64,スカート,4
Iron,3.65,アイロン,4
Flute,2.45,フルート,4
Tie,3.8,ネクタイ,4
Skunk,2.3,スカンク,4
Truck,4.02,トラック,4
Owl,2.22,フクロウ,4
Rooster,2.22,おんどり,4
Blouse,4.18,ブラウス,4
Peacock,2.05,クジャク,4
Lion,2.0,ライオン,4
Doorknob,4.25,ドアノブ,4
Table,4.35,テーブル,4
Couch,4.4,ソファー,4
Sweater,4.48,セーター,4
Spoon,4.5,スプーン,4
Hanger,4.52,ハンガー,4
Penguin,1.7,ペンギン,4
Light switch,4.58,スイッチ,4
Seal,1.62,アザラシ,4
Toothbrush,4.62,歯ブラシ,4
Zebra,1.6,シマウマ,4
Stove,4.65,ストーブ,4
Ostrich,1.52,ダチョウ,4
Fork,4.78,フォーク,4
